order_item_id,order_id,product_id,quantity,unit_price
1,1,5,2,120.44
2,1,9,3,135.83
3,1,23,1,161.52
4,1,14,3,128.8
5,2,18,1,190.22
6,2,25,1,184.65
7,2,15,3,189.37
8,2,20,2,39.89
9,2,35,3,170.97
10,3,26,2,68.11
11,3,1,2,26.83
12,3,22,2,40.18
13,3,26,3,68.11
14,3,3,2,124.0
15,4,16,3,122.65
16,4,32,1,34.61
17,4,24,3,100.68
18,4,32,2,34.61
19,4,6,3,120.49
20,5,7,1,163.37
21,5,9,3,135.83
22,5,7,2,163.37
23,5,35,1,170.97
24,5,28,1,28.16
25,6,35,2,170.97
26,6,11,3,178.64
27,6,1,3,26.83
28,6,8,3,63.29
29,7,31,1,61.04
30,8,6,2,120.49
31,8,9,2,135.83
32,8,28,1,28.16
33,8,24,2,100.68
34,9,14,2,128.8
35,10,10,1,65.9
36,10,28,2,28.16
37,10,34,2,95.26
38,10,14,3,128.8
39,11,22,2,40.18
40,11,34,1,95.26
41,12,29,2,10.26
42,13,35,1,170.97
43,13,11,3,178.64
44,13,33,2,168.79
45,13,31,2,61.04
46,14,6,3,120.49
47,14,28,1,28.16
48,14,10,1,65.9
49,14,20,3,39.89
50,14,2,1,102.3
51,15,18,3,190.22
52,15,28,2,28.16
53,15,6,3,120.49
54,15,12,3,36.63
55,16,24,3,100.68
56,16,29,3,10.26
57,16,34,2,95.26
58,16,5,1,120.44
59,17,19,1,145.14
60,17,34,3,95.26
61,17,35,1,170.97
62,17,28,3,28.16
63,17,19,3,145.14
64,18,2,2,102.3
65,18,30,1,171.93
66,19,16,3,122.65
67,19,1,3,26.83
68,20,28,3,28.16
69,21,34,1,95.26
70,21,2,3,102.3
71,22,1,2,26.83
72,23,5,1,120.44
73,23,25,2,184.65
74,23,16,2,122.65
75,23,17,1,152.5
76,23,13,1,60.38
77,24,8,2,63.29
78,25,13,2,60.38
79,25,23,3,161.52
80,25,6,3,120.49
81,25,19,2,145.14
82,25,20,3,39.89
83,26,29,1,10.26
84,26,34,1,95.26
85,26,12,3,36.63
86,26,26,2,68.11
87,27,29,1,10.26
88,27,29,2,10.26
89,27,17,1,152.5
90,27,34,3,95.26
91,28,13,3,60.38
92,28,15,3,189.37
93,28,35,3,170.97
94,29,16,1,122.65
95,29,16,3,122.65
96,29,29,2,10.26
97,29,14,1,128.8
98,30,30,3,171.93
99,30,30,1,171.93
100,30,28,2,28.16
101,30,3,2,124.0
102,30,27,1,46.32
103,31,20,3,39.89
104,32,31,2,61.04
105,32,14,1,128.8
106,32,18,3,190.22
107,33,12,3,36.63
108,33,10,1,65.9
109,33,20,1,39.89
110,33,8,1,63.29
111,33,10,2,65.9
112,34,34,3,95.26
113,34,22,1,40.18
114,34,18,1,190.22
115,35,3,3,124.0
116,35,4,1,75.68
117,35,28,1,28.16
118,35,11,3,178.64
119,35,1,3,26.83
120,36,2,3,102.3
121,36,16,1,122.65
122,36,17,2,152.5
123,36,4,1,75.68
124,36,23,3,161.52
125,37,10,2,65.9
126,37,16,2,122.65
127,37,13,1,60.38
128,37,19,2,145.14
129,38,23,3,161.52
130,39,21,2,160.96
131,39,11,2,178.64
132,39,13,3,60.38
133,39,12,2,36.63
134,39,23,3,161.52
135,40,19,1,145.14
136,40,29,2,10.26
137,40,24,2,100.68
138,40,28,3,28.16
139,41,1,2,26.83
140,41,15,1,189.37
141,41,8,1,63.29
142,41,8,3,63.29
143,41,29,1,10.26
144,42,5,1,120.44
145,43,26,1,68.11
146,43,27,3,46.32
147,43,18,1,190.22
148,43,4,2,75.68
149,44,24,3,100.68
150,44,11,3,178.64
151,45,17,1,152.5
152,45,4,2,75.68
153,46,11,1,178.64
154,46,16,3,122.65
155,46,8,3,63.29
156,46,3,3,124.0
157,47,20,1,39.89
158,47,6,1,120.49
159,47,10,3,65.9
160,48,9,2,135.83
161,48,6,3,120.49
162,48,20,3,39.89
163,48,18,2,190.22
164,48,32,2,34.61
165,49,2,3,102.3
166,49,8,1,63.29
167,49,8,3,63.29
168,49,22,3,40.18
169,50,27,1,46.32
170,50,8,3,63.29
171,50,22,3,40.18
172,50,6,1,120.49
173,50,24,1,100.68
174,51,18,2,190.22
175,51,1,2,26.83
176,51,32,2,34.61
177,51,18,2,190.22
178,51,2,3,102.3
179,52,19,1,145.14
180,52,35,2,170.97
181,52,33,1,168.79
182,52,28,1,28.16
183,52,30,2,171.93
184,53,32,2,34.61
185,54,16,2,122.65
186,54,34,2,95.26
187,54,13,3,60.38
188,55,24,1,100.68
189,55,32,2,34.61
190,55,10,2,65.9
191,56,26,1,68.11
192,56,12,2,36.63
193,56,4,1,75.68
194,56,14,2,128.8
195,57,30,3,171.93
196,57,25,2,184.65
197,57,7,3,163.37
198,57,10,1,65.9
199,58,26,3,68.11
200,58,11,2,178.64
201,58,27,1,46.32
202,58,29,1,10.26
203,58,7,3,163.37
204,59,13,2,60.38
205,59,25,2,184.65
206,60,25,3,184.65
207,60,27,1,46.32
208,60,5,2,120.44
209,60,28,1,28.16
210,61,17,1,152.5
211,61,31,2,61.04
212,61,14,1,128.8
213,61,21,3,160.96
